Date,Employee Name,Activity,Allotted Hours,Utilized Hours
2024-06-03,Alice,System Development,4,3.3
2024-06-03,Alice,Solution Discussion,3.4,3.3
2024-06-03,Alice,Customer Meeting,0.6,0.9
2024-06-03,Bob,System Development,2.8,2.9
2024-06-03,Bob,Deployment,1.4,1.5
2024-06-03,Charlie,Customer Meeting,1.1,1.1
2024-06-03,Charlie,Stand-up Meeting,2.4,2.4
2024-06-03,David,Solution Discussion,2.6,2.7
2024-06-03,David,QA,3.5,3.6
2024-06-03,Eve,Deployment,2,1.8
2024-06-04,Alice,Solution Discussion,1.2,1
2024-06-04,Bob,System Development,1.5,1.4
2024-06-04,Charlie,System Development,2.2,1.8
2024-06-04,Charlie,Solution Discussion,1.9,2.3
2024-06-04,Charlie,Deployment,3.5,3.7
2024-06-04,David,Solution Discussion,1.7,1.8
2024-06-04,David,Customer Meeting,1,1.1
2024-06-04,David,Stand-up Meeting,1.5,1.3
2024-06-04,Eve,Customer Meeting,3.3,3
2024-06-04,Eve,System Development,1.3,1.1
2024-06-04,Eve,QA,1.3,1.3
2024-06-05,Alice,Solution Discussion,3.3,3.9
2024-06-05,Alice,Stand-up Meeting,2.3,2.2
2024-06-05,Bob,QA,1.8,1.9
2024-06-05,Charlie,Deployment,2.9,3.2
2024-06-05,David,QA,3.2,3.4
2024-06-05,Eve,Stand-up Meeting,1.6,1.6
2024-06-05,Eve,QA,3.3,3.1
2024-06-06,Alice,Customer Meeting,2.7,3.1
2024-06-06,Alice,Deployment,2.3,2.5
2024-06-06,Bob,QA,2.9,3.3
2024-06-06,Bob,Customer Meeting,2.7,2.4
2024-06-06,Charlie,System Development,1.6,1.5
2024-06-06,Charlie,Solution Discussion,1.3,1.4
2024-06-06,David,Customer Meeting,1.9,2.2
2024-06-06,David,System Development,3.6,4.1
2024-06-06,David,Stand-up Meeting,1.5,1.3
2024-06-06,Eve,System Development,1.2,1.1
2024-06-06,Eve,QA,3.9,4.2
2024-06-07,Alice,Solution Discussion,2.1,2.3
2024-06-07,Alice,QA,1.7,1.5
2024-06-07,Bob,QA,2.9,3.1
2024-06-07,Charlie,Deployment,2.7,2.9
2024-06-07,David,QA,2.3,2.3
2024-06-07,David,Deployment,2.6,2.9
2024-06-07,David,Stand-up Meeting,1.4,1.3
2024-06-07,Eve,Deployment,1.8,1.9
2024-06-10,Alice,Customer Meeting,2.8,2.4
2024-06-10,Alice,System Development,3.8,4.1
2024-06-10,Bob,System Development,1.4,1.6
2024-06-10,Bob,Customer Meeting,3.2,3
2024-06-10,Bob,QA,2.8,2.5
2024-06-10,Charlie,Deployment,3.7,4.3
2024-06-10,Charlie,Stand-up Meeting,2.4,2.3
2024-06-10,David,Deployment,2.3,2.7
2024-06-10,David,Stand-up Meeting,2.4,2.3
2024-06-10,Eve,QA,2.8,2.7
2024-06-10,Eve,System Development,1.4,1.3
2024-06-11,Alice,QA,3.9,4.5
2024-06-11,Bob,Solution Discussion,1.3,1.5
2024-06-11,Bob,Customer Meeting,2.1,2.4
2024-06-11,Bob,System Development,1.4,1.2
2024-06-11,Charlie,Customer Meeting,1.9,1.7
2024-06-11,Charlie,Deployment,3.9,3.2
2024-06-11,Charlie,Solution Discussion,2,2.3
2024-06-11,David,System Development,1.7,1.7
2024-06-11,David,Stand-up Meeting,3.2,2.6
2024-06-11,Eve,Customer Meeting,3.6,3.7
2024-06-11,Eve,Solution Discussion,2.7,2.3
2024-06-11,Eve,System Development,1.4,1.5
2024-06-12,Alice,System Development,3.8,3.7
2024-06-12,Bob,Deployment,3.6,3.8
2024-06-12,Bob,Stand-up Meeting,2.6,3
2024-06-12,Bob,Customer Meeting,1.7,1.2
2024-06-12,Charlie,Deployment,2.8,2.8
2024-06-12,David,Customer Meeting,3.3,3.8
2024-06-12,David,Stand-up Meeting,1.9,2
2024-06-12,Eve,Deployment,3.1,2.5
2024-06-12,Eve,Customer Meeting,3.5,2.9
2024-06-13,Alice,Stand-up Meeting,1.3,1.4
2024-06-13,Alice,Customer Meeting,3.3,3.1
2024-06-13,Bob,System Development,1.9,1.8
2024-06-13,Bob,Customer Meeting,2.1,2.5
2024-06-13,Bob,Solution Discussion,2.4,2.3
2024-06-13,Charlie,Stand-up Meeting,3.1,3.2
2024-06-13,David,Solution Discussion,3,2.9
2024-06-13,Eve,Customer Meeting,1.5,1.7
2024-06-14,Alice,System Development,1.1,0.9
2024-06-14,Alice,Solution Discussion,1.7,1.9
2024-06-14,Alice,Customer Meeting,1.3,1.3
2024-06-14,Bob,Stand-up Meeting,1.1,1.3
2024-06-14,Bob,System Development,3.9,4
2024-06-14,Charlie,QA,2.5,2.5
2024-06-14,Charlie,Solution Discussion,1.7,1.6
2024-06-14,Charlie,System Development,2.4,2.6
2024-06-14,David,QA,1.4,1.4
2024-06-14,David,System Development,2.1,2.5
2024-06-14,Eve,System Development,2.4,2.8
2024-06-14,Eve,Deployment,3.5,4.2
2024-06-17,Alice,Stand-up Meeting,2.2,2.2
2024-06-17,Alice,Customer Meeting,2,2.2
2024-06-17,Bob,Solution Discussion,2.3,2
2024-06-17,Bob,QA,2.4,2.7
2024-06-17,Bob,Customer Meeting,1.4,1.2
2024-06-17,Charlie,Stand-up Meeting,3.1,3.7
2024-06-17,Charlie,Solution Discussion,3.6,3.8
2024-06-17,Charlie,Deployment,1.1,0.5
2024-06-17,David,Customer Meeting,3.2,3.3
2024-06-17,Eve,Stand-up Meeting,3.6,4.3
2024-06-18,Alice,Deployment,3.7,4
2024-06-18,Alice,QA,2.4,2.6
2024-06-18,Alice,Customer Meeting,1.4,1.4
2024-06-18,Bob,Stand-up Meeting,2.1,1.9
2024-06-18,Bob,Customer Meeting,2.4,2.1
2024-06-18,Charlie,Customer Meeting,3,3.4
2024-06-18,David,QA,3.4,2.8
2024-06-18,David,Customer Meeting,2.8,3.2
2024-06-18,David,Stand-up Meeting,1.8,2
2024-06-18,Eve,System Development,3.1,2.8
2024-06-18,Eve,Customer Meeting,3.4,2.7
2024-06-19,Alice,Stand-up Meeting,2.7,2.3
2024-06-19,Bob,QA,3.2,3.7
2024-06-19,Bob,System Development,2.5,2.5
2024-06-19,Charlie,Deployment,1.9,2.1
2024-06-19,Charlie,Customer Meeting,2.4,2.5
2024-06-19,David,Solution Discussion,3.2,3
2024-06-19,Eve,Stand-up Meeting,1.4,1.6
2024-06-20,Alice,Stand-up Meeting,3.9,4.5
2024-06-20,Bob,Deployment,1.8,2
2024-06-20,Bob,Stand-up Meeting,2.6,2.3
2024-06-20,Charlie,Solution Discussion,3.1,3.1
2024-06-20,Charlie,Deployment,1.9,1.6
